,8:00-9:30,9:30-11:00,11:00-12:30,12:30-2:00,2:00-3:30,3:30-5:00,5:00-6:30,6:30-8:00,
,8:00-11:00,11:00-2:00,2:00-5:00,5:00-8:00,
,Monday,
,CS-1,Machine Learning (MS-DS),Advanced Programming (CS),Computational Intelligence (MS),Data Sceince (MS),No Class,No Class,No Class,No Class,
,CS-2,No Class,No Class,Software Testing (CS-A),Human Computer Interaction (CS-F),Human Computer Interaction (CS-C),No Class,Requirement Engineering (MS-SPM-B),Requirement Engineering (MS-SPM-B),
,CS-3,Technical & Business Writing (CS-C),Numerical Methods (CS-B),Computer Architecture (CS-B),Numerical Methods (CS-A),Computer Architecture (CS-A),Differential Equations (Cal II) (CS-F),Calculus-II (CS-R),No Class,
,CS-4,No Class,No Class,No Class,Software for Mobile Devices (CS-A),No Class,Software for Mobile Devices (CS-B),Research Meeting – Dr. Zeeshan Ali Rana,No Class,
,CS-5,Mass Communication (CS),No Class,No Class,Comp. Org. & Assembly L. (CS-C),No Class,Pakistan Studies (CS-B),No Class,No Class,
,CS-6,Applied Physics (CS-H),Applied Physics (CS-G),Calculus and Ana. Geometry (CS-G),Calculus and Ana. Geometry (CS-H),Sociology (CS-B),Sociology (CS-A),No Class,No Class,
,CS-7,Professional Issues in IT (CS-A),Professional Issues in IT (CS-B),Comp. Org. & Assembly L. (CS-A),Comp. Org. & Assembly L. (CS-B),French Language (CS-A),French Language (CS-B),No Class,No Class,
,CS-8,Numerical Methods (CS-C),No Class,Design & Analysis of Algorithms (CS-C),Design & Analysis of Algorithms (CS-D),No Class,No Class,No Class,No Class,
,CS-9,Total Quality Management (CS),Database Systems (CS-A),Database Systems (CS-B),Design & Analysis of Algorithms (CS-E),Network Security (CS),Database Systems (CS-E),No Class,No Class,
,CS-10,Digital Logic Design (CS-B),Database Systems (CS-C),Database Systems (CS-D),Fundamental of Computer Vision (CS-B),No Class,Fundamental of Computer Vision (CS-A),No Class,No Class,
